Kalenjin,Kiswahili
Tos ichame logoyat ingoro eng' chu?,"Je, ungependa tunda lipi kati ya haya?"
Tos asom kilaming'ung' tagigosyek tutikin ii?,"Je, ninaweza kuazima kalamu yako kwa dakika chache?"
Koian inendet kole motinye poisyet ake tukul.,Yeye alikiri kuwa hana kazi yoyote.
rorisot aku wolengei bukuisiek laak eng' sukul,Wanafunzi wanacheka na kubadilishana vitabu shuleni.
kiy ne kiimongu ko kingen kole namba oeng ko nenyin,Kile alikuwa na uhakika nacho ni kwamba  namba mbili itakuwa ni yeye.  
Kikerchi chorindet lakwet kot orit ,Mwizi alimfungia mtoto chumbani
Kimenye eng emet yemi lolongyet,Tunaishi katika nchi wakati wa majira ya joto
Miten pik che matinye kwoshiek ,Kuna watu wengi hawa Viatu 
eeeh kiyan koteshi tugee ngwang ,"Naam, walikubali  kuwaruhusu wainue sauti zao."
Yeisup orani komutin akoi kap kogo.,Barabara hii ndiyo itakayokuongoza hadi kwa nyanya.
tuguk che keboishe eng' ngalset cheu kiptanganyit ko keboishe kebor piik che porie asoya,Vile vile vyombo vya mawasiliano vya kisasa kama vile runinga zitumike kuanika wale ambao hufanya ufisadi.
kile nyikanatet ka ngalalet ab boyonyi ne kikosirto,Kijasiri alikiri kuwa hiyo ilikuwa sauti ya marehemu muume wake.
"Kitoi chechang mungaretab mayaik, ngwek ak keibot kweinik ak ngoroik ","Wengi walianzisha biashara ya kuuza mayai, mboga na kuchuuza viatu na nguo za mitumba kwa mtaji waliopewa na Anao au shirika la kina"
kibistoi ng'wenonik chechang koyototin,machimbo mengi huachwa wazi
nebo angwan ko matogechop orantiwek,"Jambo la nne, ni kuwa barabara zimekosa ukarabati"
kinyoru ofisitab menejayat,Alipata afisi ya meneja.
tos chito anonon ne kiboisiechi emet nyin komye?,'Ni mtu yupi anayeweza kuitumikia nchi yake vyema? 
ogeere tulwet nekooi mising,ninaona mlima mrefu sana
Kipangani ngalalet ab tononet ab sasishet eng emennyo,Mjadala wa namna wa kukabidi ufisadi nchini  kenya unapangwa
Kwapaipaitu amun kwanyoru parwet kopun chorwenyu, Nilifurahi kwa kuwa nlipokea barua kutoka kwa rafiki yangu
somanee ko  nyolchin koek sawa en emee komukul,Elimu inapaswa kuwa sawa kwa wote mchini.
kamangunet nebo chamiet nengug kotinye kamangut,Nguvu ya mapenzi yako inanipa nguvu.
testai ab kei koibu karanindo eng' sobet ab piik,"Aidha, miundo msingi huboresha maisha ya watu."
Chapisiet nebo iman koipu anyinyindo eng sanit,Kichocheo kamili huleta tamu kwenye sahani.
Lakwani komotinyei sigik,Huyu mtoto wa mpwa wangu hana wazazi.
chamiet ne nyo ko imuch kocham chii tukul,Upendo wetu ni wakuigwa na watu
Kineti lagok eng sugul,Wanafunzi wanafundishwa kule shuleni
kikiker sukulisiek che chang' chebo chito akubo amunetab korona,Shule nyingi za kibinafsi zilifungwa kabisa kwa sababu ya Corona.
chetononchin  ko baishen rabinik koait,Madiwani wana matumizi mabaya ya pesa .
eng' emetab kenya ak uganda ko biik tiptem ichekei che bendi,"Nchini Kenya na Uganda, watu ishirini peke yake ndio wanaohudhuria."
Mungaret ne mie konerei betut eng betut,Biashara  nzuri hukua kila mara
name ngatatek komiten imbar yo onegei ago tuga ngimeche iche konyaa,wanarukiwa na tope mashambani  kufukuzana na mifugo katika hekaheka za kuwatibu. 
inoni ko kakwautiet agenge nepo patrick ,Hili ndilo wazo lile lile ambalo lilikuwa na Leonardo da Vinci.
tinyei korona kaborunoik cheu chebo tunguyonde ,Corona iko na dalili zinazofanana na za homa
Kitumda Jesu korotik amu eng chalwogik chok,Yesu alimwaga damu nyingi kwa sababu ya dhambi zatu
"kokwa anyun namba akenge ak oeng tai yu kokoji vyetishe kwako, yon kwanii Rashid ak Fasiya tai",Hivyo basi nambari moja na mbili waje mbele wapokee vyeti  alisema huku Rashid na Fazaya wakisonga mbele.  
magasee it somanet noto lagookab sugulamu maingeen biik chegigoboor ," wanagenzi huyapuuza masomo haya kwa sababu, hawajui waja waliofanikiwa."
Kiiro Asisi lagok kourerendos,Asisi alibaki pale akiwaangalia watoto wakicheza.
macham Kifuja koyan kole serikak emoni kobo barak mising, Kifuja alikataa kusadiki kwamba waandishi wa humu nchini walikuwa wakiandika vitabu vilivyopea mno.
 Ngumiit ko mochei kimnon ak oree ne bo iman si kertekei ak ilumde.,Ngumi inahitaji nguvu na mbinu sahihi za ulinzi na mashambulizi.
kole kirubei ngatutik che bo keteshe ne chebei,Eti ndo  kufuata sheria za wizara andalizi.
ne kiimut nyikanet orit ko kimwa tukuk tugul kou bet ne bo jeso,Kilichompeleka Kijasiri ndani kilikuwa wazi kama mchana wa Mungu.
Haliet ab stimet en' emet ab Kenya komie barak,Bei ya stima nchini Kenya iko juu
Kobor emotunuek chesire lo eng soket ab China,Nchi zaidi ya sita zimenufaika na soko la china
kap chi ko kit nebo tai eng' sabet,Familia ndiyo kitu ya kwanza maishani
riib koot ng'ung' manyoru koroitab korona,Kinga familia yako dhidi ya ugonjwa huo wa corona
 Yaani makishe che kerkei.,Yaani alama  sawia.
Kichop kristo ngwenyut ak asista ne konech kekerte,Yesu aliumba mbingu na nchi na pia jua ytunayotumia ili kuona
"Eng wikini, kinyor Ruto kaberberishek somok che ter che kibunu kongasis tai","Wiki hii, Ruto alikutana na jumbe tatu tofauti kutoka eneo la Mashariki"
Nomei sukul tuyee eng kwekeny betut ne bo tai ne bo wikit., Kila jumatatu shule ushika gwaride .
Lewenet ab soket ko kit nebo kamanut mising kometou mung'aret,Utafiti wa soko ni muhimu sana kabla uanze biashara
"kingongeringutu robinik,konetiik cheyome kogigigeer ak keutye","Ukosefu wa fedha, walimu wa kutosha na vifaa kilifungwa na kusahauliwa."
amatkoboisie murenik ng'alekab ngoroik kochoor kwonyik,Wanaume wasitumie kisingizio cha mavazi kubaka.
Taishek ab trafikishek komache chito niripei ngatukik ab oret, mataa ya trafiki inahitaji muajiri wa kuhakikisha masharti ya barabarani yasivunjwe.
kechop haliyet ab emet keboishe malik ab piik ne katakibaishe kotonon halyet ab emet,kudumisha uchumi kwa kula mali ya umma ambapo ingetumika kuimarisha uchumi wa nchi inafaa kukataliwa
kimwa kimutai akorirei,kimutai alisema akilia.
"Ongetien eng boiboiyet, Jesu koyetindet",Tuimbe kwa furaha Yesu ni mwokozi wetu
asae jeso ale ko yon yaik che kichut kufika,Naomba Mungu aepushie mbali roho mchafu aliyemwingia Kifuja.
ki asakarik ab chenget,walikuwa maafisa wa upelelezi.
Kikibatisan inendet amut ketorchin bek chechang,Alibatizwa jana yeye kwa kuingizwa ndani ya maji
 Kitebee kwangdoyii Deborah.,Alimuuliza mkewe  Deborah.  
Kiiyeta eng chamnyet nyi Jehovah ,Yesu alinifanya mimi niwe mkubwa kwa upendo wake
ribsetab bortao nebo lagok che mengechen ku tomo ku ang'erit, mfumo kinga wa watoto wadogo haujakomaa
kale canada kiyai zimbabwe lelutiet newon nea ,"canada  imemshtaki Zimbabwe kwa kufanya ""kosa kubwa""."
"nebo somok,tuiyoshekab siaset koyae biik machamegei eng olegilosune cheptailel anan ko kokwet ","Tatu, mikutano ya kisiasa husababisha chuki ya kikabila kidini na hata kiukoo."
mete eng olelo ngalek ab korona kongem ngalek ab ureriet ,Tupilia mbali virusi vya corona kuiponda michezo.
Kipoipoi karon  en kaa yu kotienge karoban,Tunafurahi leo juu imenyesha kesho 
kasarta age nayoru ngalek che bunu sang ageree kouni che bo arit ko kararan,"Wakati mwingine nikipata habari za kule nje, huona kwa nini watu wengine huona ndani huku afadhali."
ki mekat ke wolune biik che bendi kootab saet,Watu wanaohudhuria sehemu za ibada zilipaswa kupunguzwa 
wolutik chekimaiyan kwandanyin,ni mabadiliko ambayo babake aliyapinga
"kigoon hasaret ne oo nyasusiet eng bikap cheyoe mungaret,kigobeek biik kelyek,eunek ago biik alak sobengwai","Ajali barabarani umesababisha hasara kwa wafanya biashara, imesababisha ulemavu wa maisha kwa baadhi ya watu."
Komi komasta neminingin mising nemwoe kole makoi kondoichi ichek Ruto,Ila sehemu ndogo sana linasema kuwa Ruto hawezi kuwaongoza
yeiurerenen ng'onyuni ko mokoimin cheyookisot komou makeng'ung,Ukicheza na dunia utasinywa na mengi yafanyikayo kinyume na matarajio yako.
ikoito sukulit sait nekikonukei,Shule inapean fursa ya kujitolea.
 kibut koristo kaita nekirue kipsomaninik eng sukul., Bweni la shule lilibomolewa na upepo
koit kemout nebo amut chamiyet nyin, mpenzi wake alifika kwake jioni.
Nguno komuchi konyor tukukwaci amachorsei kora,Hivi sasa wanaweza kukimu mahitaji na wala hawapori tena watu.
"Maem choto, kikisikto bananda nekindet nemakimwoe",Hiyo haikutosha nilizaliwa kwa umaskini usiosemezeka
iywei biik kotebi wian agoba  kandoitindet noto,Watu huhofia kukaa mahali kwani kiongozi huyo
Kimakchini serikalit ko alda minutik ko mamie pichindo agetugul,Serikali inafaa kuuza mimea bila shida yoyote.
Kikwong Asisi amune asikobarei bik alak sobetab lagok che mengech ,Asisi alishangaa jinsi watu waima huchangia kuangamiza ndoto za baadaye za watoto.
maiguyee kobaishe saingwai eng urerenoshiet nemachamat eng kokwet , hawaelewi kutumia muda wao katika karakana.
"eng ematinwek ab Kemeut ko magatmakisas,magat kekolee  minutik che much kochun eng' olindok",Kwa hivyo sehemu zenye ukame zinafaa zsidharauliwe bali ziwe zikitumiwa kupanda mimea zinazoweza kumea
"kou noto, kikiete icheke komamanda akot kitegen eng' korikwak","Hivyo basi, waliekewa zuio kamili la kutotoka nyumbani."
Nebo iman kibo boiboyet betunyu mising,"Ama kweli siku hii ilikuwa 	ya furaha sana"
Kelel ko kepepertap kakwoutietap kesir,Kukosa ni sehemu ya mchakato wa kufaulu.
Kipendi olemii biik Che kikoechekitu chepo kaa,Tunawatembelea wazee wa familia.
mekat komuny chitugul ya kakuyei boisie ne ang'er,kila mtu anapaswa kupumzika baada ya kazi ngumu
Kiimong kandoindet ab ememt ripotit noto arawet ne kisirtoi,Ripoti hiyo ilizinduliwa mwezi uliopita na Rais
eng chokchinet kiginyorugei eng ingweny,Ghafla bin vuu tulijikuta mchangani.
Netai ko mache serikalit ko taret kabatik ko alda kesutik,"Kwanza, serikali inafaa kuwasaidia wakulima kuuza mazao yao."
delta ko koroitab korona ne kibar biik che chang',Delta  ni aina ya corona ambayo imewauwa halaki
Kitooku kole kichamaat kemut Haji.,Ilibainika kuwa Haji ndiye angefaa kuchukuliwa.
Ikilgei eng tiemutik pwoni logoek,"Fanya bidii kwenye mitihani, matunda yatakuja."
tabanutab choto ko kinyaryo sobonwekab biik che chang',Kando na hayo maisha ya binadamu wengi yameathirika.
amu igichini biik korot inoto nebo COVID 19 iche,wao hueneza ugonjwa wa uviko19.
Changaitu kesutik eng'  ndaet ab peek,Mazao yatakuwa mengi mradi huu unapoekezwa maji
Kiipun logoek chechang' koskoling',Tutakuletea matunda mengi jioni
 Kikipongesan laitoriat amu kiyay komie eng tiemutik chii che bo emet., Alituzwa na rais kwa kufanya vyema katika mtihani wake ya kitaifa.
"kikonu biik che tononchini chametabgei nebo borwek ripotit kole kimeyo biik  milionit bokol agenge, elfusiek tisap ak agenge, bokol mut ak tamanwokik sokol ak lo eng' emet ko mugul","ripoti ilitolewa na Shirika la Afya duniani kuwa watu milioni nne, laki moja elfu sabini na moja, mia tano na tisini na sita walikufa kwa sababu ya Corona kote ulimwenguni."
ko akenge en kipsomaninik che kiyai komie en somoitab kinkeresek, Walikuwa kati ya wanfunzi bora katika somo la Kingereza.
Taban ab yoto ko kimii tiong'ik che kororonen che kitindoi katuswek che koen,"Kando na hapo, palikuwa na wanyama wa kuvutia, waliokuwa na shingo ndefu"
 Chepto noe ko kobo let,msichana huyo alikuwa wa mwisho.
Meit robinik che kakiboisie kosir komonutietab bik ,"Usihesabu gharama kuliko thamani ya ubinadamu wa mtu, mama alimhimiza."
"yo chenge kuraishek bikap siaset,konyoru biik chemengech boishiet korib ichek","Wanasiasa wanapotafuta kura kwa wananchi, vijana huajiriwa kama walinzi"
kiteje kit nekibwati eng' akenge, Tunajenga kumbukumbu tamu pamoja.
Kochang' piik eng' tumndo notok,Watu wengi walihudhuria sherehe hiyo.
tinye konetik maket kunai boise ab kipsomaninik, Walimu wana uweza wa kutambua vipaji kwa wanafunzi.
  Komoche anai ole nee ni kiyaa eng yoo ng'wong., Ningependa kujua nini kilitokea hapo kwenyu.
kap chii koo kim eng' kagilet,Familia inaleta nguvu kwenye mapambano.
Akothee tai koborchinikei imandanyin,Akothee amekuwa katika mstari kupigania haku yake
Kiabwat mising akanai ale kakoit kasarta ne kiokenyi,Niliwaza sana na nilijua kuwa wakati niliousubiri umewadia na hakuna kurudi nyuma.
kemwaita ngalek ak tuguk kongetee olda agenge akoi age, kuwasilisha ujumbe au bidhaa Kutoka sehemu moja hadi nyingine.
akot achek ko mekat keune eunek beek che lolong ak sabunit,"Pia, sote tunapaswa kunawa vizuri kwa maji vugu vugu na sabuni "
chorik koibe uguk ab bik eng nguno ko wui sabet,Wezi hawa huwapora waja katika nyakati hizi ngumu.
"ole u ole khalif , amazon ak diani ko ki ko mi bik amun ukonjwet nito","Sehemu kama Burj Khalifa, msitu wa Amazon  na Diani zinakosa wateja kwa watu kuhofia ungojwa"
somanetab barak komeche robinik chechang mising.,Vyuo vingi vikuu ni vya ghali sana.
ogeere tuguk cheng'ulei kitikin,nayaona mambo tofauti kiasi
eng Iman neregek komatoreti kiiy,Ama kwa kweli hasira hasara.
Oo komostangun kosir nanyu ,Wewe una sehemu kubwa kuliko yangu.
Kipakenge kokonu boratet,Ushirikiano inaleta mafanikio
Pendi kaa kipsomaninik sait taman,Wanafunzi wataenda nyumbani saa kumi
kapwatutaet missing koistoi poipoiyet,Fikra mingi huondo furaha
kalian maipu rupishekab somanee sukul, Kwan nini hukuleta karo shuleni.
 Muitaet kenyerune kiy.,Subira huvuta heri.
karik che bune barak ko ndegeit ak parachutit,"Vyombo vya hewani ni kama vile : eropleni, puto ya hewa na joto la parachuti."
Boisiechin olikyik eng chokchinet,Hutoa huduma ya haraka
"ko ngatar,nebo iman konyalu konyor chii tugul imanda nyii","Nikimalizia, kwa kweli mgala muuwe na haki umpe."
Chomei biik ab Kenya koam kimyee ko uu amitwokik che bo koskoleny, Wakenya wengi wanapenda kula ugali kama chakula cha jioni.
Makoi kebe tai komomi kamuket ab Kamuktaindet,Hatuwezi songa mbele bila uwezo wa Mungu
Mache kotaret serikalit piik eng aldaishet ab tuguk eng' ematinwek ab sang',"Minghairi ya hayo, serikali inafaa kuwasaidia wakulima kuuza mazao yao katika nchi za nje."
Kiba taban Asisi ak Liwazo Kowal ngoroik ,Asisis na Liwazo walienda chemba kidogo ili abadilishe nguo.
Mongering amu kites boisiet ,Si haba alichangia mradi
Matitepekei otko konin tiemutik siret ne kemebwotyini,Usishangae kama mitihani inakupa mafanikio yasiyotarajiwa.
Kiimut inendet ruondo eng chokchinet ,Gafla aliibwa na usingizi.
kiwoo kasarta ochei keker ak keyaat konyee ko kukuwook likosoit ne bo oeng,Muda kwa kweli ulikimbia na kufumba na kufumbua macho likizo ya muhula  wa pili ikakwisha.
maimugak konyor gei ak ichek chetupcho,hawakufanikiwa kupatana na  jamaa zake.
Chopei tuyosiek che bo kaborunoikab mungaret,Inashiriki katika maonyesho ya biashara
Kabatishet ko much ke ib kwo barak eng' oratinwek che chang', Kilimo huweza kuimarishwa kwa njia nyingi 
cheny wolutie ne iman,chagua jibu sahihi
wis gaa kotomo korobon,kimbia nyumbani kabla hakujanyesha
Sasishet ko much komanune sukul kora,Ufisadi huu unaweza kujitokeza hata shuleni.
 Ndo meyanii turishe nyii,Ama  hawaamini ushindi wake?
maibooru komekekiy,Hakuonyesha kujali.
"Akot kora, tou toek choto mungaresiek eng emenyo akotesetai ","Hata hivyo, wageni wataanza biashara na nchi yetu  na tutaendelea kiuchumi"
 Kitoroch mecheita nyii kobuntoe simoit., Alisalamia shemeji wake kupitia simu.
sagitek chu komagororon eng bortab chii ,Dawa hizi huathiri sana afya ya adinasi.
"Bik chetinye korik cheechen, garisiek ak ngetunonik che kiibune katuiyosiekabkei chekonu toretet ","Walimiliki mijumba mikubwa, mijigari na masalio waliyatoa kwa mashirika ya utoaji misaada; mingine ikaja huku kwao ingawa haikuwafikia walengwa."
kikiyokto koibchi kerchek che ichuchuchi ng'wonindo,alitumwa amletee dawa ya kupunguza maumivu
Tiemutik alak tugul ko boroindo ne iporu kamukengung,Kila mtihani ni nafasi ya kuonyesha uwezo wako.
kikosis kwale ko u pek eng teret makomi taek chebwane konget koit korona, Kwale imekuwa kimya kama maji mtungini kwani kabla ya corona kulikuwa na pilka pilka nyingi.
imandai ko lekit ,Utatoka hivi karibuni.
ngeegu eng kip akenge nebo achek chekichame cheso ko nebo kamangut eng sabet, umoja wetu tukiwa wakristo ni muhimi sana maishani
maimuch kotestai mung'arenik che chang' eng' kenyit noto,Biashara nyingi hazikuweza kuendelea mwaka huo
Kitebekei,alijiuliza.
"anyon, mamito ng'wonindo ne masisei","Naam, hakuna uchungu usiotulia."
tinyei bolutik kelchin neoo eng' emet,Madini huwa na manufaa mengi katika nchi
Kiyae somanet ab kabatishet koek lazima,kilimo lifanywe kuwa la lazima kwa wanafunzi
Nekipimanekei kimnatet amu kimakotinyei siling ,wa kupimana nguvu kwa sababu haikuwa na pesa.
kimi besie ne kikiip bunge kemochei keng'at kiit neiloktogei kwonyik, kulikuwa na mswada bungeni wa kuweka sheria ya kudhibiti mavazi ya wananwake .
"Nii,amache amwaa kole Banda tinyei siaset ngalekchi kotinyei koret tugul","huu, ningependa kusema kuwa ijapokuwa siasa zina athari hasi duniani."
Noljin kotindoi cheerset eng ole kiboishendoi robinik,Inapaswa kuwa na ushauri kwa matumizi ya kifedha
kiiri chorik kirato nyo,lango letu lilivunjwa na wezi
Eng' kandoiset ko magat eng' kandoik  che kikwei kobunu kotushek tugul,Katika uongozi viongozi wa nchi wachaguliwe kutoka kabila zote za jamuhuri
Ye rekto asista ka kakoit koskoleny.,Jua likitua lazima ni jioni kila siku.
asigo magararanitu oratinwek ,na kuwa katika hali isiyoridhisha.
Miten pik che yabu  emet ab chumbek Ethipia ,Kuna watu kutoka ugenin ethopia
Ngabkoit tupchengung komoistokri eng Yun mito,Nduguyo tangu aje nyumbani amejitupa pale alipo hata hafurukuti.
nderefaishek choto chebo banda ne loo cheu cho ibee tuguk kongete Kericho agoi mombasa,Hawa madereva wa umbali mrefu kwa mfano wanaoelekeza bidhaa kutoka Kericho  hadi Mombasa
kiichuch mokornatetab biik che chang' korona,Korona ilipunguza mali ya watu wengi
ya solwondit eng emet,ujinga ni mbaya katika taifa
Mutai ko petut ne kararan ,Kesho ni siku nzuri
"Eng tai, kitinye eunek che koen akichorei kiy aketukul nekinyoru","Hapo kabla, walikuwa na mikono mirefu na kuiba walichopata"
eng betusiek chechang kochubei biik eng kiit neiloktogei kelenei motinyei konyit,Mara nyingi watu humtusi kwa jinsi alivyovaa kwa madai kuwa anachangia utovu wa maadili.
Kitabut ab kanisa ko kitindo tukuk tukul ,Kijitabu cha kanisa kilijumuisha tangazo na sasisho muhimu.
boishen biikap siaset tuiyoshek asigomwaitat lembechek,wanasiasa hutumia mikutano hii kueneza ahadi za uongo.
machulat mengishet ab chito,Maishani kuna mawimbi.
Karan eng' piik kou eng' koratinwek che yakwaen si kometochi kabatik ko pat,Ni vizuri ikiwa watu watahama ardhi iliyo na rotuba nzuri ili waweze kuachia wakulima waipalilie 
Betusiek tugul komi oret kimwa Emali ,"Mtu kila siku njiani, Emali alilalamika."
kiyayak choto amu kigagoit kemboi ago mamegeeygiy nderefaindet kole ki kemboi ago kemboi kotuui koret ,Haya yalitokea kwa kuwa dereva hakujali kuwa ni usiku na usiku kuna giza.
eng' iman kiba che chang' ko kiba kipsengwet ya kakumeyo,Kwa hakika wengi walienda mbinguni baada ya kufa
magisomani komnyei amu miten metit eng tyenwogik ago tuguk che inemu sautishek,"hatusomi vizuri kwa sababu akili huwa iko kwa muziki, na vipaza sauti"
geerei nderefainik kotuni ngekwerie karishek kesindonigei,Madereva huona kana kwamba uendeshaji wa magari ni mashindano
Kingoro Asisi ak choronokchi kotangany,"Alipomwona Asisi na wenzake, aliduwaa."
Kikotorit kipsomaninik che chang kitabushek che kikikoch sikotoRit eng somanet,Kupewa vifaa vya kusoma kama vitabu imesaidia wanafunzi wengi
kiim wolutichoto,mabadiliko haya yamemsumbua
Ane koa kipsomaniat eng' sukulit ap parak nepo Kabarak,Mimi ni mwanafunzi katika chuo kikuu cha Kabarak
ak kialdagei neranik eng ortinwekab taunit,na vijana wakijiuza katika barabara za mjini.
Pandek ko kondak silingit,Mahindi ni chemichemi ya pesa
Somanet kotechei kit ne kararan eng sopet,Elimu inajenga msingi imara wa maisha.
Kiboisie deskit agenge koam bandek chekakikel tugul akwam miwek tugul,"Walitumia dawati moja wakala mahindi choma pamoja, wakatafuna muwa pamoja, wakaokota taka au kupalilia maua shuleni pamoja, wakaokota taka au kupalilia maua shuleni pamoja."
Ichek ko tesetai konyoru tuguk ab puch komie alak che tesetai konyalili,"Hao huendelea kupata vitu vya bure, wakilala heri huku wengine wakilala hoi."
