Kidaw'ida,Kiswahili
Nyamandu refugha ni waghenyi wa loli,Mnyama wa kufugwa ni rafiki mwaminifu.
Wandu wengi wapoilwa kudamba,Watu wengi wanapenda kusafiri.
Lukundo lwa ndighi mbaa,Upendo ni nguvu kubwa.
Ndodo rako radima kukaiya ra loli,Ndoto zako zinaweza kuwa ukweli.
Kusekeliwa kudwa isanduku jako cha vindo va nadime,Usisahau kubeba kisanduku chako cha chakula cha mchana.
Reda fuwa,Leta sahani
Nyonyi radima kudamba ngelo ndacha,Ndege wanaweza kusafiri umbali mrefu.
Vindo va nakenyi ni nicha,Chakula cha jioni ni muhimu.
Defaa kulindia kedu,Tunapaswa kulinda kwetu
Kilambo ichi ni cha zoghori mbaa,Chombo hiki ni cha thamani.
Mruke ghoka nadime,Joto ni juu mchana huu.
Matuku ghose jifundishe kufuma mawiwi ghako,Siku zote jifunze kutoka kwa makosa yako.
Wufundi ghopoa,Ufundi ni ujuzi mzuri.
Wanafunzi wishome kwa kujiduma,Wanafunzi wanapaswa kusoma kwa bidii.
Barua ni chia yededanya,Barua pepe ni njia ya mawasiliano.
Manya kenyu,Fahamu mazingira yako.
Charo cha umma ni chia ipoiye,Usafiri wa umma ni njia nzuri ya kusafiri.
Nyonyi radima kudua nicha,Ndege wanaweza kutua salama.
Wana wefwana kusarigha shighadi,Watoto wanapaswa kucheza nje.
Ini ni mwanafunzi wa malagho gha sayansi,Mimi ni mwanafunzi wa taaluma ya sayansi.
Kazi yapo yekunda kughesha kubaa,Kazi yangu inahitaji ubunifu.
Poilwa ngelo rose ra maisha,Furahia kila wakati wa maisha.
Matuku ghose dua kwa loli,Siku zote kuwa mkweli.
Wusafiri ghwa baisikeli ni ghwa ilemba.,Usafiri wa baiskeli ni wa kijani.
Vindo vidabiya munyu.,Chakula kinazidi chumvi.
Kuseobuo kuzoya mradi ghwako.,Usiogope kuanza mradi wako.
Mviringo ghwa machi ni suti kwa mzi.,Mzunguko wa maji ni muhimu kwa mazingira.
Kusesighe kulola wuya,Usiache kutafuta maarifa.
Wudimi ghwako ni m'baha.,Uwezo wako ni mkubwa.
Tima vilambo vizima maishenyi.,Jaribu vitu vipya katika maisha.
Ndighi ya lukundo yadima kusima kula kilambo.,Nguvu ya upendo inaweza kushinda kila kitu.
Kushoma ni chia ye kufundisha malazi.,Kusoma ni njia ya kujifunza mengi.
Kuseliwe kughora chawucha.,"Usisahau kusema ""asante."""
Chaghu chipoi chane matumbulio/mashano ghipoe,Kazi nzuri ina matokeo mazuri.
Deka na wajibu ghotesia wazima.,Tuna wajibu wa kusaidia wengine.
Ndodo rako radima kukaiya wuloli kwa kesho.,Ndoto zako zinaweza kuwa ukweli wa kesho.
Malagho ghadima kughaluka shwa.,Mambo yanaweza kubadilika kwa haraka.
Napoilwa kukutesia.,Nimefurahi kukusaidia.
Kula mndu wakunde mghenyi wa loli.,Kila mtu anahitaji rafiki wa kweli.
Ishima ni suti.,Heshima ni jambo la lazima.
Poilwa ituku jako!,Furahia siku yako!
Wana wakundikie kughenda skulu.,Watoto wanapaswa kuhudhuria shule.
Chumbo ni sehemu ya maisha ghedu.,Muziki ni sehemu ya maisha yetu.
Mlungu wadirasimia na maisha ghipoie.,Mungu ametujaalia maisha mazuri.
Matunda na mbogha ni suti kwa mmbi,Matunda na mboga ni muhimu kwa afya.
Wulindiri ghodu ni ijukumu jedu.,Usalama wetu ni jukumu letu.
Dakundikie diheshimu wukala kwa wazima.,Tunapaswa kuheshimu utamaduni wa wengine.
Matuku ghose tima kubonye mecha.,Siku zote jaribu kufanya jambo zuri.
Barafu yadima kukaiya na mbeo shuu.,Barafu inaweza kuwa baridi sana.
Deka wajibu ghozighana  nyamandu.,Tuna wajibu wa kutunza wanyama.
Wana ni wedu.,Watoto ni wetu.
Poilwa ni vindo vako.,Furahia chakula chako!
Ini ni ishabiki wa misarigho.,Mimi ni shabiki wa michezo.
Barua ni chia yededanya,Barua ni njia ya kuwasiliana.
Chaghu chipoi chakunde kurumaghia,Kazi nzuri inahitaji uvumilivu.
Mmbi ghwa ghwako ghakundikie kulindirwa na iruwa.,Mwili wako unapaswa kulindwa na jua.
Lukundo lwa loli ndelusiagha.,Upendo wa dhati hauishi.
Wushomi ghopoa shuu.,Elimu ni nzuri sana.
Ni suti dilindie misidu.,Tuna jukumu la kuhifadhi misitu.
Chia ipoi ye kufundisha ni kwa mabonyo.,Njia bora ya kujifunza ni kwa vitendo.
Kupoilwa ni ilagho jha samani.,Furaha ni jambo la thamani.
Msarigho ghwa iboli ja maghu ghomaniyika shuu.,Mchezo wa mpira wa miguu ni maarufu.
Kuseliwe kurwa kofia ya wulindiri.,Usisahau kuvaa kofia ya usalama.
Ndighi ya mwambori yepoa.,Nguvu ya akili ni muhimu.
Matuku ghose nidapoilwa kukaiya na waghenyi.,Siku zote ninafurahi kuwa na marafiki.
Kulola sere ni ilagho ja henga.,Utafutaji wa amani ni jambo la thamani.
Wulindiri ghopoa mzedu,Usalama unapendeza kwetu.
Napoilwa nihistoria ya wurumwengu,Nimevutiwa na historia ya dunia.
Kushoma ni kupoisa maisha ghako.,Kusoma ni kutengeneza maisha yako.
Lukundo lwa kichuku,Upendo wa familia ni wa kipekee.
Nguwo ielie yepoa,Nguo safi ni muhimu.
Kudeka,Kupika ni sanaa.
Kaiya na ngelo na wana wako,Tumia muda na watoto wako.
Kuseliwe kudungiria machi ghikate,Usisahau kunywa maji ya kutosha.
Ni suti dilindie machi.,Tuna wajibu wa kuhifadhi maji.
Wulongozi ni fwana ipoiye.,Uongozi ni sifa ya kipekee.
Lukundo ni wughanga ghwa ngolo.,Upendo ni dawa ya moyo.
Kunekana kudu kopoa shuu kwa lukundo.,Kusikiliza ni muhimu katika mawasiliano.
Weka winywa chofi,Wapo wanakunywa pombe.
Isi ni waisanga wa wurumwengu ughu.,Sisi ni raia wa dunia hii.
Wadeki wadashomea kudeka ngelo vui.,Wapishi wanajifunza kupika kwa muda.
Kushoma vuo ni chia ye elimika.,Kusoma vitabu ni njia ya kuelimika.
Kuela kopoa mmbinyi,Usafi ni muhimu kwa afya.
Isanga jedu ni suti jituzo,Mazingira yetu yanahitaji kutunzwa.
Kishomo chepoa kwa ngelo richaa.,Elimu ni ufunguo wa mafanikio ya baadaye.
Poilwa kila hatua ya maisha ghako.,Furahia kila hatua ya maisha yako.
Isi ni wandu wamweri.,Sisi ni familia moja.
Nyonyi wadima kukaiya na rangi ripoiye,Ndege wanaweza kuwa na rangi nzuri.
Ndekune kilambo chipoiye sa kupoilwa,Hakuna kitu kizuri kama kuwa na furaha.
Kila kilambo chadimika kwa bidii,Kila kitu kinawezekana kwa bidii.
Kufundishe kufuma kwa mawiwi ghako.,Jifunze kutoka kwa makosa yako.
Deka na ngelo imweri yedua ndoenyi,Tuna nafasi moja tu ya kuishi.
Chaghu chipoiye chakunde wustadi.,Kazi nzuri inahitaji ustadi.
Chia ipoiye yeshoma ni kukotia makoto.,Njia nzuri ya kujifunza ni kwa kuuliza maswali.
Kuseliwe kurwa vadu nicha.,Usisahau kuvaa viatu salama.
Picha ni chia yehifazi ghiidie.,Picha ni njia ya kurekodi kumbukumbu.
Choki radaluma wandu.,Mazingira ni mali yetu.
Dafwane diwitesie wazima.,Tuna wajibu wa kusaidia wengine.
Kula ituku ni mvono,Kila siku ni zawadi.
Kaiya na marumirio maishenyi.,Kuwa na matumaini katika maisha.
Saghua waghenyi wako nicha.,Chagua marafiki wako kwa busara.
Deko na mzigo gholindia isanga.,Tuna jukumu la kuhifadhi ardhi.
Poilwa kila ngelo na wandu wako,Furahia kila wakati pamoja na familia yako.
Bhati ni matumbulio gha juhudi.,Bahati ni matokeo ya juhudi.
Dakundikie dilindie bahari.,Tuna wajibu wa kutunza bahari.
Kusetima kuvisa loli.,Usijaribu kuficha ukweli.
Kuelesha kigharo ni ijukumu jedu.,Kusafisha nyumba ni jukumu letu.
Kulowua ni ighemi ja loli,Ndoa ni ahadi ya dhati.
Lukundo lwa loli jingi ndeghufue.,Upendo wa kweli haujawahi kufa.
Dumia mgelo na wakundwa wako.,Tumia muda na wapendwa wako.
Wana wadakunda kuzighanwa nicha,Watoto wanahitaji malezi bora.
Ndekune andu kupoie sa nyumbenyi.,Hakuna mahali pazuri kama nyumbani.
Kuseliwe kukaiya meso chienyi.,Usisahau kuwa mwangalifu barabarani.
Kushoma ni chia iboiye yemanya.,Kusoma ni njia bora ya kujifunza.
Poilwa ni kula mlambo ghwa charo chako.,Furahia kila hatua ya safari yako.
Kuseliwe kubonya mazoezi.,Usisahau kufanya mazoezi.
Mburi radaja nyasi,Mbuzi hula nyasi.
Kuseliwe kughora chawucha kwa mvono ghwako,Usisahau kushukuru kwa baraka zako.
Chaghu chipoiye chadima kukuredia mecha.,Kazi nzuri inaweza kuleta mafanikio.
Kaiya na masuwirio maishenyi,Kuwa na subira katika maisha.
Wanake ni bengi yedu konyuma.,Watoto ni hazina yetu ya baadaye.
Kuseliwe kuzighana mmbi ghwako,Usisahau kujali afya yako.
Nyonyi radadamba shwa wori.,Ndege wanaweza kusafiri kwa kasi.
Poilwa ni kimae cha isanga.,Furahia asili na mazingira.
Chia ipoiye yebonya ilagho,Njia bora ya kufanya jambo ni kwa bidii.
Poilwa ni ilagho jifwane ,Kuwa na furaha ni jambo la thamani.
Lukundo ni lwa wurumwengu.,Upendo ni lugha ya ulimwengu.
Deka na ijukumu jelindia nyamandu,Tuna jukumu la kulinda wanyama.
Isi ni wamangi wa wurumwengu.,Sisi ni raia wa dunia.
Kusikirana ni ilagho ja henga,Kusikiliza ni jambo la muhimu.
Isi ni wandu wamweri.,Sisi ni familia moja.
Poilwa kila ituku ja maisha.,Furahia kila siku ya maisha.
Chia ipoiye ye shoma ni kubonya ghisefwane,Njia nzuri ya kujifunza ni kwa kufanya makosa.
Wulindiri ni ilagho ja henga shuu,Usalama ni jambo la kipaumbele.
Kila ituku ni mvono kufuma kwa Mlungu.,Kila siku ni zawadi kutoka kwa Mungu.
Idime ni ituku jipoie ja iruwa jikiaka ng'aa.,Leo ni siku nzuri ya jua na anga likiwa wazi kabisa.
Kichuku chapo chadakunda kuja andu kumweri lumalwakenyi.,Familia yangu inapenda kula pamoja kila jioni.
Napoilwa kusikira memu ipoiye kufuma kwa waghenyi wapo.,Nimefurahi kusikia habari njema kutoka kwa rafiki yangu.
Charo cheenda masakenyi chedeka chipoiye.,Safari ya kwenda mbugani ilikuwa ya kusisimua sana.
Neka na wowa ghomanya mbari zima.,Nina shauku ya kujifunza lugha mpya.
Ikoto je woka skulu mbishi jeungwa mkonu na kula mndu,Wazo la kuanzisha shule mpya katika kijiji chetu liliungwa mkono na jamii nzima.
Rwai radaneka wandu makongo,Mbu huambukiza watu magonjwa
Uja mwana oka ubandie,Mtoto yule amenenepa
Dawedaya machi modenyi,Tunachota maji mtoni
Choka radakaiya rizamie,Nyoka ni mbaya
Vindo vizamie ndeviboie,Chakula kilichoharibika sio kizuri
Wawelumwa ni chongo,Anaumwa na kichwa
Chovu radanona midi,Ndovu huharibu miti
Oka kilasi cha kasanu,Ako darasa la tano
Shimba radaja ndigha,Simba hula Twiga
Vua yenya ipwau,Mvua ilinyesha usiku
Modo ghose ghwadarima,Moto wote huzima
Mtorori ghwadabuduka,Gari huanguka
Ndoe radakaiya mbuwenyi,Mchanga huwa shambani
Mwatulituli wawekabwa,Rununu inaitana
Machi gheka gha mbeo,Maji yako ya baridi
Nawelumwa ni meso,Naumwa na macho
Manga wadazoghua mbuwemyi,Mihogo humkua shambani
Wana waweshoma skulu,Watoto wanasoma shuleni
Mumaiza wawesumbua wandu,Shetani anawasumbua watu
Dawenywa chai na makaji,Tunakunywa chai kwa viazi
Naweenda idukenyi kedu,Naenda dukani kwetu
Vindo vawelungua modonyi,Chakula kinaungua motini
Mngulu wawedingirilwa,Maharagwe yanageuziwa
Choro chawo chewuduka,Choo chao kilianguka
Dawesukwa ni mbeo,Tunapigwa na baridi
Iruwa jawikora vongo,Lia limewachoma vichwa
Oka na tughumba mbaha,Ako na kipaji kikubwa
Mindi rapo ravimba,Miguu yangu imevimba
Chwakule rake redumbuka,Kucha zake zimekatika
Dawelomba mlungu udirasimie,Tunamuomba Mungu atubariki
Nyonyi rawekaba kelele,Nyuni wanapiga kelele
Wana ikumi waenda wughangenyi,Watoto kumi mwameenda zahanatini
Mtorori ghwake ghwazama,Gari lake limeharibika
Chia rose radaboiswa,Njia zote zinarekebishwa
Dawevina chumbo rake,Tunasakata nyimbo zake
Wadumiki wa Mlungu waweidia malazi,Watumishi wa Mungu wanapitia mengi
Wai wose waenda mbuwenyi,Wasichana wote wameenda shambani
Kira chawekamba kose,Giza linatanda kote
Mabamba mawishi ghaghulwa,Mabati mapya yamenunuliwa
Vindo va wawa vesinga,Chakula cha bibi kitamu
Nawelumwa ni ighegho,Nasumwa najino
Ilagho jake jesinga,Neno lake ni litamu
Luficho lwadalungua,Mwiko huungua
Mafigha gheko na wusiri,Mafiga yapo na usinzi
Mbau  rejighwa ni msaghu,Mbo zimeliwa na mchwa
Munyu mwingi ndeghuboie,Chumvi kingi sio kizuri
Mkono ghwaweluma,Mkono unauma
Choro cheka na makalai,Choo kiko na wadudu
Mbewa rawqeja nguwo,Panyna zinakula nguo
Vonda vadafaa vioghosho,Vidonda hufaa kusafishwa
Viro vadafunya vileri,Mimea huota maua
Ndemu rebia,Limau ni kali
Machi gha mbuta ghadwae mbeo,Maji ya mtungi yapo baridi
Linu kwadasinda na iruwa,Leo kutashinda na jua
Izi radareda makongo,Nzi hulsababisha maradhi
Ngalamvu radaluma kisaya,Mavu huuma vibaya
Marughu ghesinga,Ndizi ni tamu
Mariwa ghadadeka chai,Maziwa hupikia chai
Demfuya wughoma ondakosa,Tulimsamehe alipo kosea
Neka na dilo danu nawedungumia,Niko na usingizi sasa nasinzia
Cha redu redukwa ni machi,Barabara zetu zilivunjwa na maji
Wuki ghoka ghulemere,Asali ni nzito
Choki radapoisa wuki,Nyuki huunda asali
Vadu vapo ni va chilu,Viatu vyangu ni vyeusi
Mavunyu ghadanona vindo,Viwavi huharibu mimea
Vua ikazidi yadanona mngulu,Mvua ikizidi huharibu maharagwe
Mwatulituli wapo wazama,Simu yangu imeharibika
Mwazindika ni chumbo ra kidawida,Mwazindika ni nyimbo za Kitaita
Rwai radaonga wandu pagha,Mbu hufyonza watu damu
Wasawi wadalogha wandu,Wachawi huroga watu
Mnyunya ni mbogha ribirie,Mchunga ni mboga kali
Wana wadasunga wandu mdedo,Watoto hufuatizia watu matamshi
Vogha vadabuka ngelo vua yanya,Yoga huchepuka wakati mvua imenyesha/kunya.
Wandu irandadu waenda lima mbuwa,Watu sita wameenda kulima shamba
Deka na Kiko na wanedu,Tuko na Kiko na ndugu zetu
Iridia japo jeka itini,Nywele zangu ni ndogo
Ng'ombe rawanywa machi,Ng'ombe zinakunywa maji
Mburi eva maza,Mbuzi ilizaa mapacha
Nyasi radaoma,Nyasi hukauka
Mao waenda funga mifugho,Mama yangu ameenda kufunga mifugo
Pwaru wadaja nyasi,Sungura hula nyasi
Nguku radava maghi,Kuku hutaga mayai
Vana vadakongodelwa,Vifaranga hukongolewa
Kiwacha chawo cheka kibaa,Shamba lao ni kubwa
Daweenda idia modenyi,Tunaenda kupitia mtoni
Shaya radalasa iseghe,Diki diki hukimbia mbia
Mbogho radatika kisaya,Nyati hugonga vibaya
Ngache radaonga mariwa,Ndama hunyonya maziwa
Wawenyeghelwa ni cheru,Wanawashwa na ndevu
Ndaghina radarama shuu,Watoto wa mbuzi huruka sana
Machi ghawedoghoda modonyi,Maji yanachemka motoni
Vua yadakamba ngi!,Mvua hutanda kabisa/sana!
Nawedeka vindo visingie,Napika chakula kitamu
Charo chedu chawewoka linu,Safari yetu inaanza leo
Mao na Aba waenda wughangenyi,Mama na Baba wameenda hospitalini
Mwana ochika mkonu,Mtoto amevunjika mkono
Inda radaredwa ni wuchafu,Chawa huletwa na uchafu
Meso ghake gheka ghitinikie,Macho yake yako mekundu
Wandu wadaenda marikonyi,Watu wanaenda mazishini
Odeenda kota magho,Alienda kuchimbua mawe
Nguwo radavara machi,Nguo hutoa maji
Oka na iridia ilacha,Ako na nywele ndefu
Mlamu wapo oka na ndasanya,Wifi yangu ako na ugomvi
Uja mka ova mwana icho,Mwanamke yule amejifungua juzi
Nawelindilwa ni jesu,Nalindwa na yesu
Chumbo raweborwa,Nyimbo zinaimbwa
Dawedamba na mtorori,Tunasafiri kwa gari
Leka mkunyokunyo,Wacha mzaha
Vilole va nyumba,Vioo vya nyumba
Vua yawecha ya churuchuru,Mvua ya manyunyu
Iruwa jawefuma idakoni,Jua linakuja sasa
Nawefuma shighadi,Natoka nje
Igare ibaha jepoa,Gari kubwa ni zuri
Kipulupulu chawelowolwa,Msichana anaolewa
Kwarwa nguwo kifirika,Umevalia nguo vibaya
Rua ishati,Toa shati
Shoa magome,Chukua hela/fulusi/pesa
Enda idukenyi kughuo mfu,Nenda dukani ununue unga
Kwameria kibarua chako,Umemaliza kazi yako
Nakusighia hao wele,Nimekuwachia wapo kwani?
Nikuwesere hao,Nikungojee wapi?
Kwaja kii idimei,Umekula nini leo?
Nafuma skuli,Nimetoka shuleni.
Choo saa ikumi,Njoo saa kumi
Mwana wapo wawadwa ni polisi,Mtoto wangu amekamatwa na polisi.
Nawekama ng'ombe,Nakama ng'ombe
Mariwa ghavimba,Maziwa yameganda/yameharibika
Mwaawu waweenda waya mbogha,Mjomba ameenda kuchuma mboga
Nguwo rose ranyelwa ni vua,Nguo zote zimenyeshewa na mvua
Shimba ya waka yaweva,Simba wa kike anazaa
Vije vindo veka vihorie,Kile chakula ni baridi
Waweobua kirerendi chake,Anaoghopa kivuli chake
Wawemarwa ni meso,Ameshikwa na kizunguzungu
Nawerughudia wundu ghwa iruwa,Natiririkwa na jasho sababu ya jua
Delima mbuwa yose putu,Tumelima shamba lote
Oka na magome ghapo,Ako na hela zangu ako na pesa zangu
Oka na vala vibandie,Ako na vidole vinene
Wabarika ghimbe,Amepasuka visigino
Washanua iridia,Amechanua nywele
Wakunua sombe,Amenyoa ndevu
Aarashua ishati,Amerarua shati
Wanywa chofi nyingi,Amebugia kileo kingi
Wawuduka kiwiwi,Ameanguka vibaya
Kusecheleo nyumbenyi,Usichelewe nyumbani
Jaa mboa mboa,Kula kwa adabu
Mdawana olowua icho,Kijana ameoa juzi
Kolala mtaronyi wele,Ulilala kwa mtaro kwani?
Mwana wawelila,Mtoto analia
Mghongo ghwake ghokuchika,Amepinda mgongo
Machi ghaweida modenyi,Maji yanapita mtoni
Kiseghe chawada nguku,Kicheche kimeshika kuku
Ighembe jadawuya igufu,Jembe limeisha makali
Lufu lwakalishwa,Panga imetiwa makali
Nyonyo rabwaghwa,Ndege wameuwawa
Nguwo rose ralua,Nguo zote zimechafuka
Kwanekwa marasi,Umepewa matambara
Dawakora safu,Tunachoma siafu
Ng'eche rachua isandukunyi,Kombamwiko wamejaa kwa sanduku
Choki rawaluma wandu,Nyuki zinauma watu
Shishila mwana usekelila,Bembeleza mtoto asilie
Chije kifumbi ni cha wawa,Kile kiti ni cha bibi
Kifindiiko chabuzuka,Kifuniko kimechomoka
Warucha pagha riseng'ane,Ametoa damu nyingi
Aboo wadasingilwa ni chofi,Baba anapenda kupiga mitindi
Vindo vawalungua irikonyo,Chakula kinaungua jikoni
Uji wasia kwa samosi,Uji umeisha kwa chupa
Warwa vadu vibaa,Amevalia viatu kikubwa
Wawerukwa ni nguwo,Nguo zinamvuka
Makelu ghawesweka,Zezeta wanacheka
Wonia mmbenyu wughoma,Hurumia mwenzako
Mapamba ghafunya sombe,Mahindi yametoa maua
Mgulu wabuka mboi,Maharagwe yametoa maua
Soghoda kavui nikumumue,Somgea karibu nikueleze
Walumwa ni choka,Ameumwa na nyoka
Waghosi weka shighadi,Wazee wako nje.
Mwana wawearisa mchungu,Mtoto analia kwa sauti ya juu
Simiti yadwaya mbeo,Sakafu iko baridi
M'mangi wa isanga wawededa,Raisi anahutubu
Deka na irumirio na wandu wose,Tuko na matumaini na kila mtu
Warumu wadaobosha wandu,Majini hutisha watu
Mkeku wawelegha nisevine,Mama anaogopa nisicheze
Orasimilwa nguwo ni wawae,Alizawadiwa nguo na nyanyake.
Mosi ghwadasasaghia meso,Moshi huwasha macho.
Sufuria eka na wusiri,Sufuria iko na usinzi
Sufuria eka na mkokolo,Sufuria iko na ukoko
Mwai odeghedeka,Mwana mwali mrembo
Oka lwau lubaha,Ako na mguu mkubwa.
Mwana oka wa chilu,Mtoto ako mweusi
Naringwa ni nyamandu,Nimegongwa na mnyama
Wakusigha kueka,Amekuwacha pekee yako.
Nawazoya mashomo kesho,Naanza masomo kesho.
Mdawana oka mkongo,Kijana ako mgonjwa
Waghochuya wuli,Amekojolea malazi
Wabulana na m'mbao,Amepigana na mwenzake
Leka wonia mmbenyu iriso,Wacha kumuonea mwenzako gere.
Wadungwa ni mnjwa,Amechomwa na mwiba.
Ukakunua ofwanwa,Akinyoa anapendeza
Oka na mmbe mtini,Ako na mwili mdogo
Osonga iridia,Alisuka nywele
Waweenja kidanga,Anapeleka baisikeli
Naweenda wughangenyi,Naenda hospitali
Mawelumwa ni mbaru,Naumwa na mbavu
Narwa vilole,Nimevalia miwani
Kavika nikukabia mwatulituli,Ukifika nitakupigia simu
Naweghala mzinyi,Naenda nyumbani pekee yangu
Kukamwona kumneke voro,Ukimuona msalimie
Wajipula bula,Amejifunika blanketi
Fuma lusolowenyi,Toka mvunguni
Okunua ngoya,Amenyoa kope
Wuka shalu shalu,Amka haraka
Seya kidombo,Kaa chini
Leka machu,Wacha hasira
Leka zamilwa,Wacha kuudhika
Watungura ondalala,Alifumba macho alipolala
Nawona mwengere,Nimeona mwangaza
Mroghue wawayo,Msalimie nynyko
Oka na msigo,Ako na ujauzito
Mitororo yadaenjwa kisha,Magari huendeshwa vibaya
Mdawana ni ighade ja kisha,Kijana yule ni mvivu sana
Kwa marina ghapo nadaw'angwa Mwabili,"Kwa majina yangu, naitwa Mwabili"
Ini nafuma Mbale Dawida,"Mimi nimetoka Mbale, Taita"
Ini ni mwana wa kiw'omi,Mmi ni mtoto wa kiume
Neka na miaka mrongu iw'i na isanu,Niko na miaka ishirini na tano
Ini ne Mdaw'ida tiki,Mimi ni Mtaita kamili
Itana ni saa imweri,Saa hii ni saa moja
Mwana umweri,Mtoto mmoja
W'ana w'aw'i,Watoto wawili
Vilambo vidadu,Vitu vitatu
Koshi inya,Mbwa wanne
Vilambo visanu,Vitu vitano
Shilingi irandadu,Shilingi sita
Chapati mfungade,Chapati saba
Ndembe Wunyanya,Tembe nane
Waw'a midi ikenda,Amepanda miti tisa
Waghua nguw'o ikumi,Amenunua nguo kumi
Ikumi na imweri,Kumi na moja
Ikumi na iw'i,Kumi na mbili
Ikumi na idadu,Kumi na tatu
Ikumi na inya,Kumi na nne
Ikumi na isanu,Kumi na tano
Ikumi na irandadu,Kumi na sita
Ikumi na mfungade,Kumi na saba
Ikumi na wunyanya,Kumi na nane
Ikumi na ikenda,Kumi na tisa
Mrongo iw'i,Ishirini
Kwaw'uka mana?,Umeamka salama?
Apa waw'uka mana?,Baba ameamka salama?
Mao waw'uka mana?,Mama ameamka salama?
Kwasinda mana?,Umeshindaje?
Kwalale mana?,Umelalaje?
W'aw'a walale mana?,Nyanya alilala salama?
Mwaw'usirwa nicha?,Mmeamka vyema?
Kulale mana abo,Lala salama mjomba
Kuselale kuselombie,Usilale kabla hujaomba
Mwanidu wadaw'angwa Wakesho,Dadangu anaitwa Wakesho
Naw'aenda kwa mao na apa,Naenda kwa mama na baba
Mzedu deka warandadu,Kwetu tuko sita
Naw'angwa ni mao,Naitwa na mama
Mrongo iw'i na imweri,Ishirini na moja
Mrongo iw'i na iw'i,Ishirini na mbili
Mrongo iw'i na idadu,Ishirini na tatu
Mrongo iw'i na inya,Ishirini na nne
Mrongo iw'i na isanu,Ishirini na tano
Mrongo iw'i na irandadu,Ishirini na sita
Mrongo iw'i na mfungade,Ishirini na saba
Mrongo iw'i na w'unyanya,Ishirini na nane
Mrongo iw'i na ikenda,Ishirini na tisa
Mrongo idadu,Thelathini
Magho mrongo inya,Mawe arubaini
W'andu mrongo isanu,Watu hamsini
Magome mrongo irandadu,Pesa sitini
Peremende mrongo mfungade,Peremende sabini
Makaji mrongo w'unyanya,Viazi themanini
Midi mrongo ikenda,Miti tisini
Apa wanineka ighana,Baba amenipa mia moja
W'adaw'ida w'ada poilwa ni chai,Wataita wanapenda chai
Mbuw'a ra w'adaw'ida,Mashamba ya Wataita
Anduamu kudaw'alwa mbogha,Mahali pengine kunapandwa mboga
Makanisa gha Daw'ida gheka pacha,Makanisa ya Taita ni mengi
Nadapoilwa kucheza mpira,Napenda kucheza mpira
Diende kiw'acheni diw'one misarigho,Twende kiwanjani kuona michezo
Nadacheza mpira ghwa maghu,Nacheza mpira wa mguu
Kwaki kupoilwa ni misarigho?,Kwa nini unapenda michezo?
Kwacheza misarigho ghiao?,Unacheza michezo ipi?
Kwaw'aie kuibonya aho nanyuma?,Ushawahi kuifanya hapo awali?
Daw'ida mwaw'aa kihi?,Taita mnapanda nini?
Kwafuma hao?,Umetoka wapi?
Kwaw'angwa ani?,Unaitwa nani?
Koko na miaka ilinga?,Una miaka mingapi?
Oho ni wa kiw'omi angu wa kiw'aka?,Wewe ni wa kiume ama wa kike?
Kwapoilwa ni chombo?,Unapenda nyimbo?
Kwaichi kubora nicha?,Unajua kuimba vizuri?
Kwapoilwa ni aina ki ra chumbo?,Unapenda nyimbo za aina gani?
